orderkey,orderstatus,totalprice,clerk,custkey,c_name,c_address,c_phone,c_acctbal,mktsegment,linenumber,quantity,extendedprice,discount,returnflag,linestatus,shipdate,commitdate,shipinstruct,nationkey,n_name,n_comment
1039584.0,F,202979.8,Clerk#000000060,,,,,,,,,,,,,,,,,,
1103974.0,F,218662.14,Clerk#000000644,,,,,,,,7.0,,0.06,,,1993-11-10,,,,,
1030694.0,P,78869.24,Clerk#000000866,,,,,,,,,,,,,,,,,,
1081442.0,O,61271.97,Clerk#000000104,32579.0,,,,,,,,,,N,O,,,DELIVER IN PERSON,,,
1155682.0,F,130816.15,Clerk#000000996,84355.0,,,,,,,,,0.06,A,F,1993-09-12,,DELIVER IN PERSON,,,
1023104.0,O,124958.97,Clerk#000000062,44515.0,,,,,,1.0,47.0,,,,,,,,,,
1082272.0,O,196910.51,Clerk#000000679,,,,,,,,,,0.06,,,,1995-10-01,,,,
1084166.0,O,137924.11,Clerk#000000451,,,,,,,,,,,,,,,,,,
1124162.0,F,232922.86,Clerk#000000122,,,,,,,,,,,A,,1994-08-23,,,,,
107814.0,O,212248.5,Clerk#000000331,11903.0,,,,,,4.0,,,,,O,1995-11-30,,,,,
1144965.0,F,163891.41,Clerk#000000281,104899.0,,,,,,2.0,30.0,,,,F,,1993-08-02,TAKE BACK RETURN,,,
1064193.0,O,41190.32,Clerk#000000786,,,,,,,,,,,,,,1997-03-25,TAKE BACK RETURN,,,
1015491.0,F,271316.2,Clerk#000000116,,,,,,,4.0,,,0.1,,,1994-01-25,1994-02-11,COLLECT COD,,,
1032194.0,F,225771.04,Clerk#000000834,,,,,,,6.0,,,,,,,1992-08-30,,,,
1081477.0,F,173574.24,Clerk#000000243,138514.0,,,,,,7.0,19.0,,,,,1993-05-11,1993-04-19,DELIVER IN PERSON,,,
1179078.0,O,88318.81,Clerk#000000003,,,,,,,2.0,,,0.09,,,1998-06-30,,TAKE BACK RETURN,,,
1143332.0,O,138235.07,Clerk#000000683,76426.0,,,,,,2.0,18.0,,,N,O,1997-01-24,1997-01-18,TAKE BACK RETURN,,,
1054947.0,O,106095.63,Clerk#000000551,60523.0,,,,,,,,,0.03,N,O,,,,,,
1031297.0,O,209052.86,Clerk#000000594,,,,,,,4.0,,,,,O,1998-02-16,,COLLECT COD,,,
114276.0,F,184620.12,Clerk#000000992,61600.0,,,,,,,,,,,,,,,,,
1179719.0,O,231025.38,Clerk#000000507,,,,,,,3.0,19.0,,,N,,1996-03-06,,DELIVER IN PERSON,,,
1062532.0,F,331376.68,Clerk#000000540,138215.0,,,,,,,,,0.05,R,F,1992-03-08,,DELIVER IN PERSON,,,
1087046.0,O,226448.4,Clerk#000000969,,,,,,,,39.0,,0.02,N,,,,DELIVER IN PERSON,,,
1121123.0,O,203618.69,Clerk#000000857,37873.0,,,,,,,46.0,,,,O,1996-05-17,,,,,
1051970.0,F,224032.45,Clerk#000000306,28979.0,,,,,,5.0,45.0,,,,,1992-12-28,1992-12-13,TAKE BACK RETURN,,,
1020032.0,F,164717.03,Clerk#000000040,93227.0,,,,,,4.0,19.0,,0.0,A,F,1992-09-17,,NONE,,,
1058054.0,O,272371.01,Clerk#000000254,33379.0,,,,,,2.0,48.0,78697.92,0.04,N,O,1996-06-03,1996-07-29,NONE,,,
1071558.0,O,306649.49,Clerk#000000672,93877.0,,,,,,,,,,,,,,,,,
1068195.0,O,128269.59,Clerk#000000717,,,,,,,,,,,,,,,,,,
1123943.0,O,73498.6,Clerk#000000186,,,,,,,1.0,1.0,,,,O,1998-06-22,,,,,
1055815.0,O,358976.05,Clerk#000000852,36445.0,,,,,,1.0,37.0,,,N,,1996-02-28,,DELIVER IN PERSON,,,
1008867.0,F,59823.37,Clerk#000000850,76387.0,,,,,,2.0,22.0,,0.04,,F,1993-12-01,,,,,
1092293.0,F,326421.66,Clerk#000000694,,,,,,,1.0,,,,R,,1995-04-22,1995-05-12,DELIVER IN PERSON,,,
1043619.0,F,23157.01,Clerk#000000278,86605.0,,,,,,,,,,,,,,,,,
1027781.0,F,168782.06,Clerk#000000353,104525.0,,,,,,2.0,48.0,,0.05,,F,,,,,,
1169958.0,O,128938.81,Clerk#000000181,132790.0,,,,,,,34.0,,,N,O,1996-05-06,,DELIVER IN PERSON,,,
1052100.0,F,114948.29,Clerk#000000818,46955.0,,,,,,,4.0,,,R,,1995-01-07,,NONE,,,
109956.0,O,256960.0,Clerk#000000352,63251.0,,,,,,3.0,,,,N,O,1998-03-27,,,,,
1134177.0,F,47694.63,Clerk#000000393,72955.0,,,,,,,,,0.06,,F,1993-03-25,1993-05-14,DELIVER IN PERSON,,,
1046727.0,O,275960.66,Clerk#000000639,,,,,,,5.0,,,0.05,N,,,1996-08-20,,,,
105474.0,O,264231.7,Clerk#000000510,,,,,,,,40.0,,,N,O,1997-03-11,,NONE,,,
1053190.0,O,143533.75,Clerk#000000535,111277.0,,,,,,3.0,,,0.01,,O,,1996-08-15,NONE,,,
106147.0,O,186792.69,Clerk#000000834,,,,,,,,13.0,,,N,O,1997-04-07,,TAKE BACK RETURN,,,
1013700.0,O,221732.3,Clerk#000000297,,,,,,,,,,0.07,N,,,,COLLECT COD,,,
1087046.0,O,226448.4,Clerk#000000969,,,,,,,,,,0.02,N,,1996-04-10,1996-05-05,,,,
1103079.0,O,102039.57,Clerk#000000001,,,,,,,,17.0,,0.07,,O,1995-10-01,1995-07-28,DELIVER IN PERSON,,,
1106278.0,F,101687.78,Clerk#000000825,,,,,,,,,,,R,,1993-07-06,,TAKE BACK RETURN,,,
1082401.0,F,178971.04,Clerk#000000773,97930.0,,,,,,,,,0.06,,,,1995-04-19,TAKE BACK RETURN,,,
103203.0,O,252920.35,Clerk#000000442,19378.0,,,,,,,,,,,,,,,,,
1130055.0,O,145880.22,Clerk#000000304,,,,,,,3.0,,,,N,,,1997-09-09,DELIVER IN PERSON,,,
1119490.0,F,75259.01,Clerk#000000865,,,,,,,,,,,,,,,,,,
1154053.0,O,175152.37,Clerk#000000272,126964.0,,,,,,,,,,,,,,,,,
1043621.0,O,188135.16,Clerk#000000878,,,,,,,,25.0,,,,,,,DELIVER IN PERSON,,,
1144101.0,F,176026.13,Clerk#000000994,,,,,,,,16.0,,,,F,1994-08-05,1994-08-30,COLLECT COD,,,
1147236.0,O,83544.86,Clerk#000000470,,,,,,,,,,,,O,1997-12-02,,NONE,,,
1069635.0,F,38460.84,Clerk#000000690,,,,,,,,,,,,,,,,,,
1051808.0,O,153319.06,Clerk#000000234,34192.0,,,,,,,,,,,,,,,,,
1172801.0,F,13882.64,Clerk#000000296,124319.0,,,,,,,,,0.05,,,1995-05-06,1995-04-15,COLLECT COD,,,
1165926.0,O,204532.53,Clerk#000000625,18985.0,,,,,,,2.0,,0.05,N,,,1997-04-11,,,,
1061636.0,O,221453.14,Clerk#000000217,,,,,,,5.0,39.0,,,,O,1995-10-07,,COLLECT COD,,,
1149541.0,O,147754.68,Clerk#000000427,,,,,,,,,,,N,,,,COLLECT COD,,,
1080227.0,P,114843.82,Clerk#000000651,10921.0,,,,,,4.0,8.0,,,,,,1995-05-06,,,,
1145984.0,O,225369.26,Clerk#000000568,40586.0,,,,,,1.0,,,0.09,N,,1997-08-03,,DELIVER IN PERSON,,,
1029795.0,O,201838.78,Clerk#000000511,,,,,,,2.0,9.0,,0.03,N,,1998-09-21,,,,,
1030561.0,F,142489.23,Clerk#000000780,,,,,,,,,,,,,,,,,,
107142.0,O,144601.16,Clerk#000000853,33467.0,,,,,,,,,,,,,,,,,
1141920.0,O,244327.19,Clerk#000000920,15169.0,,,,,,,,,,,,,,,,,
1051492.0,F,141755.87,Clerk#000000714,6265.0,,,,,,,,,0.04,R,F,1993-09-18,,,,,
1110944.0,O,241542.33,Clerk#000000818,23221.0,,,,,,5.0,,,,N,,,1998-07-14,,,,
1115682.0,O,178179.94,Clerk#000000734,33391.0,,,,,,1.0,36.0,,0.02,,,,1996-06-30,,,,
10821.0,O,191014.69,Clerk#000000856,58984.0,,,,,,,,,,,,,,,,,
1054947.0,O,106095.63,Clerk#000000551,,,,,,,4.0,,,0.04,,,,1996-07-13,,,,
1032672.0,O,164010.64,Clerk#000000799,52255.0,,,,,,1.0,27.0,28811.97,0.09,N,O,1998-06-05,1998-07-18,NONE,,,
102880.0,O,131192.54,Clerk#000000433,,,,,,,,35.0,,0.08,N,O,1995-07-17,,,,,
1068736.0,O,117493.62,Clerk#000000904,142540.0,,,,,,2.0,,,,N,O,1997-05-21,1997-05-24,,,,
116417.0,F,138983.71,Clerk#000000337,,,,,,,,,,,,,,,,,,
1115045.0,F,146223.87,Clerk#000000360,67945.0,,,,,,3.0,39.0,,,,,,1994-10-06,COLLECT COD,,,
1155781.0,O,157642.07,Clerk#000000908,,,,,,,,,,,,,,,,,,
1006497.0,F,177766.67,Clerk#000000693,15500.0,,,,,,,,,,,,,,,,,
1084166.0,O,137924.11,Clerk#000000451,71818.0,,,,,,,,,,,,,,,,,
1082567.0,O,73689.09,Clerk#000000593,69788.0,,,,,,2.0,,,,N,,1996-05-21,,,,,
1116993.0,F,73428.83,Clerk#000000996,,,,,,,7.0,7.0,,0.04,R,,,,TAKE BACK RETURN,,,
1159876.0,F,76167.75,Clerk#000000362,,,,,,,2.0,19.0,36289.81,0.02,A,F,1993-01-13,1993-01-13,NONE,,,
1027876.0,F,144061.35,Clerk#000000684,,,,,,,,24.0,,0.08,A,F,,,COLLECT COD,,,
110279.0,O,219164.3,Clerk#000000686,91778.0,,,,,,,12.0,,,,O,1997-03-15,1997-06-03,,,,
10981.0,F,266554.94,Clerk#000000341,91798.0,,,,,,,,,0.08,,F,,,TAKE BACK RETURN,,,
1008546.0,O,163852.83,Clerk#000000832,108850.0,,,,,,4.0,4.0,,0.01,,,,1998-06-03,,,,
1117344.0,O,131448.91,Clerk#000000724,79142.0,,,,,,,,,,,,1996-04-07,1996-05-14,,,,
1083301.0,F,305796.27,Clerk#000000229,96835.0,,,,,,,35.0,,,R,,1994-08-19,,,,,
1157281.0,F,84877.21,Clerk#000000330,,,,,,,,,,,,,,,,,,
1152224.0,O,329552.55,Clerk#000000100,,,,,,,7.0,19.0,,0.06,,O,,1996-10-14,,,,
1176929.0,F,371329.66,Clerk#000000240,85438.0,,,,,,,,,,,,,,,,,
1038274.0,F,91904.54,Clerk#000000563,,,,,,,2.0,17.0,,0.08,R,,,,COLLECT COD,,,
106147.0,O,186792.69,Clerk#000000834,118451.0,,,,,,,13.0,,,N,O,1997-04-07,,TAKE BACK RETURN,,,
1132932.0,F,165010.51,Clerk#000000145,102463.0,,,,,,3.0,49.0,,,A,,,1992-09-11,TAKE BACK RETURN,,,
1024452.0,O,149366.83,Clerk#000000319,39016.0,,,,,,,40.0,,,N,O,,1996-06-13,,,,
1129760.0,P,151678.19,Clerk#000000541,141361.0,,,,,,4.0,31.0,,0.01,,O,1995-06-18,1995-04-21,,,,
1132454.0,O,127831.59,Clerk#000000616,98653.0,,,,,,,32.0,,0.04,,O,,,,,,
1156289.0,F,165884.57,Clerk#000000128,,,,,,,,,,,,,,,,,,
1147236.0,O,83544.86,Clerk#000000470,,,,,,,,,,0.06,,O,,,,,,
1002177.0,F,68991.83,Clerk#000000638,81935.0,,,,,,,5.0,,,,,1993-04-16,,,,,
1003264.0,F,273846.15,Clerk#000000512,78100.0,,,,,,5.0,,,,A,,,,,,,
1038274.0,F,91904.54,Clerk#000000563,7360.0,,,,,,2.0,17.0,,0.08,R,,,,COLLECT COD,,,
1124162.0,F,232922.86,Clerk#000000122,85561.0,,,,,,,,,,,,,,,,,
1004743.0,F,192513.73,Clerk#000000729,,,,,,,,49.0,,,R,,1994-10-14,1994-10-09,,,,
1043621.0,O,188135.16,Clerk#000000878,21448.0,,,,,,,,,,N,,1996-01-20,1995-12-04,TAKE BACK RETURN,,,
10821.0,O,191014.69,Clerk#000000856,,,,,,,,,,,,,,,,,,
1058502.0,O,345154.61,Clerk#000000309,,,,,,,,5.0,,0.1,,O,1997-09-13,1997-07-15,,,,
1038274.0,F,91904.54,Clerk#000000563,7360.0,,,,,,,,,,,,,,,,,
112487.0,O,147323.0,Clerk#000000709,,,,,,,,,,,,,,,,,,
1126176.0,F,247171.47,Clerk#000000501,,,,,,,1.0,,,,R,,,1994-04-10,COLLECT COD,,,
1062371.0,F,172033.51,Clerk#000000705,117236.0,,,,,,,,,,,,,,,,,
1009888.0,O,53132.76,Clerk#000000581,1301.0,,,,,,2.0,14.0,,0.06,,O,1995-10-27,,,,,
1082084.0,O,255102.37,Clerk#000000738,,,,,,,,21.0,,0.1,N,,,1997-06-14,TAKE BACK RETURN,,,
1155781.0,O,157642.07,Clerk#000000908,26365.0,,,,,,,,,,,,,,,,,
1145957.0,O,195863.41,Clerk#000000008,,,,,,,,,,,,,,,,,,
1122949.0,F,205980.37,Clerk#000000150,66989.0,,,,,,3.0,,,0.08,R,F,,,,,,
1037509.0,O,77329.72,Clerk#000000051,,,,,,,,,,,N,O,,1998-01-08,COLLECT COD,,,
1092293.0,F,326421.66,Clerk#000000694,,,,,,,3.0,9.0,,,R,,1995-05-01,,NONE,,,
1147074.0,O,83320.47,Clerk#000000685,138169.0,,,,,,,,,,,,,,,,,
1110944.0,O,241542.33,Clerk#000000818,,,,,,,,,,,N,,,,,,,
1015491.0,F,271316.2,Clerk#000000116,106541.0,,,,,,,9.0,,0.08,R,F,,,TAKE BACK RETURN,,,
1026599.0,F,98981.58,Clerk#000000973,83809.0,,,,,,,15.0,,,R,,,1995-03-30,,,,
1063937.0,F,76614.44,Clerk#000000947,,,,,,,,,,,,,,,,,,
1107841.0,O,222721.29,Clerk#000000733,,,,,,,,,,,,,1996-06-11,1996-05-26,,,,
1152807.0,O,167341.23,Clerk#000000269,,,,,,,,,,,,,,,,,,
1037509.0,O,77329.72,Clerk#000000051,100483.0,,,,,,,,,,,,,,,,,
1071204.0,O,109496.41,Clerk#000000219,,,,,,,,,,,,,,,,,,
1037280.0,F,222106.05,Clerk#000000634,,,,,,,3.0,42.0,,,A,F,,,COLLECT COD,,,
1017216.0,F,122931.47,Clerk#000000531,113197.0,,,,,,2.0,,,,,F,1995-03-25,1995-03-24,COLLECT COD,,,
110279.0,O,219164.3,Clerk#000000686,,,,,,,,,,,,,,,,,,
1109346.0,F,174385.15,Clerk#000000729,,,,,,,3.0,37.0,,0.09,A,,,1992-05-06,,,,
1058598.0,P,226949.62,Clerk#000000577,97910.0,,,,,,4.0,12.0,,0.05,,O,1995-06-23,,NONE,,,
1089632.0,F,135149.27,Clerk#000000382,,,,,,,,,,,,,,,,,,
114465.0,O,90435.34,Clerk#000000051,100544.0,,,,,,,,,,,,,,,,,
1055621.0,F,324785.2,Clerk#000000668,148750.0,,,,,,6.0,48.0,,0.05,A,F,1993-11-20,,,,,
1041572.0,O,78178.49,Clerk#000000278,,,,,,,,,,,,,,,,,,
1114690.0,O,143891.35,Clerk#000000433,72667.0,,,,,,,,,,,,,,,,,
1055107.0,F,192607.57,Clerk#000000412,,,,,,,,,,0.08,R,,1992-08-21,,,,,
1067877.0,O,250316.38,Clerk#000000818,,,,,,,1.0,,,0.02,,,1996-06-28,,TAKE BACK RETURN,,,
1055107.0,F,192607.57,Clerk#000000412,,,,,,,,49.0,,0.06,,,,1992-07-19,DELIVER IN PERSON,,,
1158307.0,O,105227.54,Clerk#000000760,,,,,,,3.0,,,0.02,N,O,1995-11-27,,,,,
1136258.0,O,81517.39,Clerk#000000936,,,,,,,,,,,,,,,,,,
1009826.0,F,4877.92,Clerk#000000400,32917.0,,,,,,1.0,,,0.07,A,F,1995-06-04,1995-03-25,COLLECT COD,,,
1129540.0,O,168379.74,Clerk#000000499,110392.0,,,,,,,,,,,,,,,,,
112960.0,O,287364.14,Clerk#000000177,,,,,,,,37.0,,,,,1997-08-10,,NONE,,,
1055815.0,O,358976.05,Clerk#000000852,,,,,,,,14.0,,,N,O,,,DELIVER IN PERSON,,,
1119845.0,F,357893.0,Clerk#000000302,,,,,,,,27.0,,,,,,1993-06-04,DELIVER IN PERSON,,,
1030849.0,O,258328.02,Clerk#000000808,97111.0,,,,,,,,,,,,,,,,,
1034405.0,O,405596.16,Clerk#000000131,19271.0,,,,,,,20.0,,,,O,,,COLLECT COD,,,
1032069.0,P,250696.63,Clerk#000000442,12662.0,,,,,,1.0,23.0,,0.06,,O,,1995-07-08,,,,
1122949.0,F,205980.37,Clerk#000000150,66989.0,,,,,,,,,,,,,,,,,
1168132.0,F,205808.39,Clerk#000000199,,,,,,,,46.0,,0.04,,F,,,,,,
115523.0,F,367352.75,Clerk#000000262,,,,,,,,23.0,,,R,F,,1994-05-10,,,,
1046757.0,F,304114.87,Clerk#000000552,,,,,,,2.0,47.0,,,,,1994-08-29,1994-08-03,DELIVER IN PERSON,,,
1055303.0,F,266978.48,Clerk#000000497,148088.0,,,,,,,6.0,,0.07,,F,1994-04-06,,DELIVER IN PERSON,,,
1016358.0,F,231651.4,Clerk#000000392,,,,,,,2.0,40.0,,,,,,1992-10-20,,,,
1020581.0,O,131818.3,Clerk#000000967,16345.0,,,,,,2.0,24.0,,,,,,,,,,
1027105.0,P,162954.37,Clerk#000000796,,,,,,,1.0,3.0,,,,,,,,,,
1041572.0,O,78178.49,Clerk#000000278,,,,,,,1.0,4.0,,,N,O,,1996-01-02,DELIVER IN PERSON,,,
1005925.0,O,234809.67,Clerk#000000025,,,,,,,5.0,38.0,,,,O,,,,,,
1152583.0,O,78573.09,Clerk#000000217,89228.0,,,,,,2.0,,,0.0,N,O,,,,,,
1139623.0,O,137820.9,Clerk#000000740,,,,,,,,,,,N,,,1996-04-09,TAKE BACK RETURN,,,
1128384.0,F,213016.58,Clerk#000000572,,,,,,,,,,,,,,,,,,
1002753.0,F,2330.74,Clerk#000000574,61658.0,,,,,,,,,,,,,,,,,
103941.0,F,53922.32,Clerk#000000457,25744.0,,,,,,1.0,,,,,F,1994-06-22,,,,,
103203.0,O,252920.35,Clerk#000000442,,,,,,,,,,0.03,,O,,1995-09-06,,,,
1169986.0,O,50059.23,Clerk#000000157,,,,,,,,,,,N,O,1997-09-21,,COLLECT COD,,,
1163013.0,O,193210.2,Clerk#000000369,16597.0,,,,,,,34.0,,0.0,,O,1997-02-17,1997-04-30,,,,
1015491.0,F,271316.2,Clerk#000000116,,,,,,,,,,,,,,,,,,
1054146.0,O,320256.13,Clerk#000000866,,,,,,,,25.0,,,,,1997-05-08,,,,,
1080227.0,P,114843.82,Clerk#000000651,,,,,,,3.0,45.0,,0.03,N,,1995-06-19,1995-05-25,TAKE BACK RETURN,,,
1071204.0,O,109496.41,Clerk#000000219,,,,,,,,,,,N,O,1996-07-21,1996-08-23,COLLECT COD,,,
1154053.0,O,175152.37,Clerk#000000272,,,,,,,,,,,,,,,,,,
1009765.0,O,203200.67,Clerk#000000044,40933.0,,,,,,,22.0,,,,O,,1997-10-08,,,,
1066435.0,O,135259.01,Clerk#000000227,39283.0,,,,,,3.0,49.0,,,N,,,1997-03-24,COLLECT COD,,,
1100417.0,O,77803.31,Clerk#000000148,,,,,,,,,,,,,,,,,,
1104196.0,F,374003.93,Clerk#000000574,105862.0,,,,,,6.0,46.0,90890.48,0.05,A,F,1994-05-23,1994-04-16,NONE,,,
1061636.0,O,221453.14,Clerk#000000217,3427.0,,,,,,,,,,,,,,,,,
1058689.0,F,122121.78,Clerk#000000706,,,,,,,,,,,,,,,,,,
1164000.0,O,193863.07,Clerk#000000022,,,,,,,5.0,,,,N,,1997-05-27,1997-05-09,COLLECT COD,,,
1135431.0,O,231769.93,Clerk#000000929,,,,,,,,,,,,O,1997-07-25,1997-06-27,TAKE BACK RETURN,,,
1102119.0,O,182606.15,Clerk#000000413,,,,,,,1.0,9.0,,,,,,1996-05-12,,,,
1113765.0,O,236336.26,Clerk#000000749,,,,,,,2.0,35.0,,0.04,,O,1998-03-07,,,,,
1145984.0,O,225369.26,Clerk#000000568,,,,,,,,3.0,,,,,,1997-06-15,NONE,,,
1122817.0,F,177222.16,Clerk#000000939,148447.0,,,,,,3.0,20.0,38237.4,0.02,A,F,1992-09-28,1992-09-25,TAKE BACK RETURN,,,
1153540.0,O,383570.33,Clerk#000000753,102718.0,,,,,,7.0,40.0,,,N,O,,1996-06-19,TAKE BACK RETURN,,,
1093923.0,O,156334.2,Clerk#000000921,,,,,,,,,,,,,,,,,,
1057313.0,O,191951.98,Clerk#000000153,31114.0,,,,,,2.0,,,0.01,,,,,DELIVER IN PERSON,,,
1144101.0,F,176026.13,Clerk#000000994,110776.0,,,,,,,26.0,,0.04,,F,,,DELIVER IN PERSON,,,
1077601.0,O,71785.91,Clerk#000000094,50632.0,,,,,,,,,,,,,,,,,
1110944.0,O,241542.33,Clerk#000000818,,,,,,,1.0,49.0,,0.1,N,,,,,,,
1128576.0,O,287354.0,Clerk#000000358,72340.0,,,,,,,46.0,,,,,,1998-09-15,,,,
1077797.0,F,214020.32,Clerk#000000128,97819.0,,,,,,,,,,,,,,,,,
1168326.0,F,214401.83,Clerk#000000301,88816.0,,,,,,,45.0,,,R,F,1993-08-15,1993-08-16,,,,
1042182.0,F,104804.21,Clerk#000000774,,,,,,,,,,,,,,,,,,
1057186.0,F,107662.39,Clerk#000000897,106778.0,,,,,,,,,,,,,,,,,
107142.0,O,144601.16,Clerk#000000853,33467.0,,,,,,,16.0,,,,,1995-08-28,1995-07-11,,,,
103203.0,O,252920.35,Clerk#000000442,19378.0,,,,,,,45.0,,0.02,,O,1995-10-17,1995-09-17,NONE,,,
112487.0,O,147323.0,Clerk#000000709,67946.0,,,,,,1.0,8.0,,,N,O,,1998-03-12,NONE,,,
110279.0,O,219164.3,Clerk#000000686,,,,,,,,12.0,,,,O,1997-03-15,1997-06-03,,,,
1123590.0,O,300124.47,Clerk#000000188,1387.0,,,,,,,,,,,,,,,,,
111969.0,O,46868.5,Clerk#000000206,106336.0,,,,,,,,,,,,,,,,,
1002753.0,F,2330.74,Clerk#000000574,61658.0,,,,,,1.0,2.0,,,,,1992-01-25,1992-03-24,TAKE BACK RETURN,,,
1048451.0,F,306617.82,Clerk#000000567,78163.0,,,,,,,36.0,,,,F,1992-02-27,1992-03-14,,,,
1160768.0,O,294951.98,Clerk#000000594,,,,,,,,28.0,,0.1,,,,1997-05-11,,,,
1015236.0,F,98134.87,Clerk#000000052,146959.0,,,,,,3.0,,,,A,,1994-08-14,1994-08-03,TAKE BACK RETURN,,,
1093031.0,F,305874.46,Clerk#000000815,105790.0,,,,,,,,,,,F,1993-05-26,,COLLECT COD,,,
1055815.0,O,358976.05,Clerk#000000852,,,,,,,4.0,,,0.08,,O,,,,,,
1139623.0,O,137820.9,Clerk#000000740,101941.0,,,,,,7.0,13.0,,,N,O,1996-05-16,1996-04-01,,,,
116417.0,F,138983.71,Clerk#000000337,41174.0,,,,,,2.0,,,0.08,A,F,1994-02-21,1994-02-25,NONE,,,
112487.0,O,147323.0,Clerk#000000709,67946.0,,,,,,,50.0,,0.1,,,1998-04-02,,NONE,,,
1164098.0,O,125069.32,Clerk#000000440,65155.0,,,,,,,43.0,,0.06,,,1995-07-20,,,,,
1129540.0,O,168379.74,Clerk#000000499,,,,,,,2.0,47.0,,0.05,,O,1998-03-12,,,,,
1154053.0,O,175152.37,Clerk#000000272,126964.0,,,,,,3.0,4.0,,,N,,1998-05-06,,TAKE BACK RETURN,,,
1011778.0,F,286468.77,Clerk#000000144,27568.0,,,,,,,37.0,,,,F,,1992-09-12,,,,
116581.0,O,94080.29,Clerk#000000592,,,,,,,,4.0,,,N,,,,,,,
1089415.0,F,110938.22,Clerk#000000795,116599.0,,,,,,1.0,45.0,46441.35,0.01,R,F,1995-04-05,1995-03-16,NONE,,,
1158977.0,F,70252.2,Clerk#000000829,39587.0,,,,,,3.0,30.0,,0.01,R,F,,,,,,
1170370.0,F,97105.85,Clerk#000000699,17083.0,,,,,,,7.0,,,,F,,,,,,
1136258.0,O,81517.39,Clerk#000000936,8815.0,,,,,,,,,,,,,,,,,
1039365.0,F,174446.73,Clerk#000000239,,,,,,,,47.0,,,,F,1993-08-15,1993-06-26,DELIVER IN PERSON,,,
1148706.0,O,91852.01,Clerk#000000888,134359.0,,,,,,,,,,,,,,,,,
1074149.0,O,94485.99,Clerk#000000333,89773.0,,,,,,,,,,,,,,,,,
1139623.0,O,137820.9,Clerk#000000740,101941.0,,,,,,5.0,1.0,,0.05,,O,1996-02-19,1996-04-04,COLLECT COD,,,
1160768.0,O,294951.98,Clerk#000000594,,,,,,,7.0,41.0,,0.07,N,O,1997-04-19,1997-05-06,,,,
1149829.0,O,285644.17,Clerk#000000582,27118.0,,,,,,3.0,34.0,,0.09,,O,1996-02-19,,COLLECT COD,,,
1032194.0,F,225771.04,Clerk#000000834,118840.0,,,,,,,,,,,,,,,,,
1013632.0,O,115298.74,Clerk#000000049,,,,,,,,,,,,O,,1996-01-17,COLLECT COD,,,
1068195.0,O,128269.59,Clerk#000000717,,,,,,,,,,,,,1997-08-25,,,,,
1048195.0,O,152829.88,Clerk#000000247,,,,,,,2.0,,,0.1,N,O,1998-07-12,1998-08-25,,,,
1003264.0,F,273846.15,Clerk#000000512,78100.0,,,,,,,,,,,,,,,,,
1160768.0,O,294951.98,Clerk#000000594,,,,,,,4.0,,,,,,1997-03-07,1997-05-19,,,,
1111905.0,O,98434.98,Clerk#000000895,8155.0,,,,,,,,,,,O,,,,,,
1048516.0,F,295459.76,Clerk#000000913,130324.0,,,,,,7.0,9.0,,,,F,1994-11-03,,COLLECT COD,,,
1002753.0,F,2330.74,Clerk#000000574,,,,,,,,,,,,,,,,,,
108870.0,F,176155.5,Clerk#000000342,113774.0,,,,,,5.0,,,0.07,,F,,1994-01-14,NONE,,,
1120582.0,O,154491.91,Clerk#000000980,75019.0,,,,,,1.0,19.0,,0.08,,O,1995-09-08,,NONE,,,
1110944.0,O,241542.33,Clerk#000000818,23221.0,,,,,,,,,0.03,N,,,1998-07-03,,,,
1105798.0,F,226278.3,Clerk#000000651,106528.0,,,,,,,,,0.01,R,,,1993-10-10,DELIVER IN PERSON,,,
118049.0,O,114677.71,Clerk#000000284,134027.0,,,,,,,,,,,,,,,,,
1114690.0,O,143891.35,Clerk#000000433,72667.0,,,,,,,,,,N,,1998-05-29,,,,,
1104224.0,F,212302.71,Clerk#000000740,8614.0,,,,,,,42.0,,,R,,,1995-02-26,NONE,,,
1116993.0,F,73428.83,Clerk#000000996,,,,,,,,15.0,,0.04,R,,1994-09-03,,,,,
111969.0,O,46868.5,Clerk#000000206,,,,,,,,,,,,,,,,,,
1006308.0,F,115187.6,Clerk#000000324,149932.0,,,,,,,,,,,F,,1994-01-11,,,,
1087046.0,O,226448.4,Clerk#000000969,,,,,,,,,,,,,1996-05-25,1996-05-19,,,,
1103171.0,O,227523.93,Clerk#000000914,24781.0,,,,,,4.0,35.0,,,N,O,,,,,,
1117344.0,O,131448.91,Clerk#000000724,79142.0,,,,,,,5.0,,0.05,,,1996-07-04,,,,,
1112420.0,F,88984.67,Clerk#000000717,,,,,,,2.0,11.0,,,R,F,1993-12-28,1993-12-26,,,,
1155872.0,O,119325.28,Clerk#000000523,,,,,,,,19.0,,,N,,,1997-09-10,,,,
1179719.0,O,231025.38,Clerk#000000507,,,,,,,,,,,,,,,,,,
1077797.0,F,214020.32,Clerk#000000128,97819.0,,,,,,6.0,,,,,F,1992-12-29,,TAKE BACK RETURN,,,
1050528.0,F,209819.1,Clerk#000000614,,,,,,,,,,,,,,,,,,
1081185.0,F,157393.18,Clerk#000000657,,,,,,,,,,,,F,,,,,,
1171234.0,O,72986.41,Clerk#000000138,78632.0,,,,,,3.0,,,,,O,,1998-06-02,,,,
